"Código","Nombre","Categoría","Color","Stock por Talla","Cantidad Total","Notas","Fecha Creación"
"Bodysuit Unisex Verde Oliva","Bodysuit Unisex Manga Corta","Bodysuits","Verde Oliva","3M:2|6M:1|9M:3|12M:2","8","Manga Corta","1/12/2025"
"Bodysuit Unisex Verde Oliva Larga","Bodysuit Unisex Manga Larga","Bodysuits","Verde Oliva","RN:3|6M:2|9M:1|12M:1","7","Manga Larga","1/12/2025"
"Bodysuit Unisex Azul Cielo Tipo 1 Larga","Bodysuit Unisex Manga Larga","Bodysuits","Azul Cielo Tipo 1","RN:2|3M:1|6M:2|9M:1|12M:1","7","Manga Larga - No hay manga corta en este modelo","1/12/2025"
"Bodysuit Unisex Azul Cielo Tipo 2 Corta","Bodysuit Unisex Manga Corta","Bodysuits","Azul Cielo Tipo 2","3M:2|6M:1|9M:3|12M:2","8","Manga Corta","1/12/2025"
"Bodysuit Unisex Azul Cielo Tipo 2 Larga","Bodysuit Unisex Manga Larga","Bodysuits","Azul Cielo Tipo 2","6M:2|9M:2","4","Manga Larga","1/12/2025"
"Bodysuit Unisex Azul Navy Larga","Bodysuit Unisex Manga Larga","Bodysuits","Azul Navy","6M:2|9M:2","4","Manga Larga","1/12/2025"
"Bodysuit Unisex Azul Navy Corta","Bodysuit Unisex Manga Corta","Bodysuits","Azul Navy","3M:2|6M:1|9M:1","4","Manga Corta","1/12/2025"
"Bodysuit Unisex Gris Corta","Bodysuit Unisex Manga Corta","Bodysuits","Gris","3M:2|6M:1|9M:3|12M:2","8","Manga Corta","1/12/2025"
"Bodysuit Unisex Gris Larga","Bodysuit Unisex Manga Larga","Bodysuits","Gris","RN:2|3M:1|6M:4|9M:3|12M:1","11","Manga Larga","1/12/2025"
"Bodysuit Unisex Bicolor Navy/Gris Larga","Bodysuit Unisex Manga Larga","Bodysuits","Bicolor (Navy/Gris)","RN:2|3M:1|6M:2|9M:1|12M:1","7","Manga Larga - Bicolor","1/12/2025"
"Bodysuit Unisex Blanco Sin Manga","Bodysuit Unisex Sin Manga","Bodysuits","Blanco","RN:9|3M:13|6M:5|9M:20|12M:15|18M:4|24M:1","67","Sin Manga","1/12/2025"
"Bodysuit Unisex Blanco Corta","Bodysuit Unisex Manga Corta","Bodysuits","Blanco","3M:1|6M:1|9M:2|12M:2","6","Manga Corta","1/12/2025"
"Bodysuit para Niñas Blanco Corta","Bodysuit para Niñas Manga Corta","Bodysuits","Blanco","RN:2|3M:2|6M:2|9M:2|12M:2","10","Manga Corta - Para Niñas","1/12/2025"
"Bodysuit para Niñas Gris Corta","Bodysuit para Niñas Manga Corta","Bodysuits","Gris","RN:2|3M:2|6M:2|9M:2|12M:2","10","Manga Corta - Para Niñas","1/12/2025"
